Romanian,English
avea,have
fi,be
putea,to be able
spune,say
face,do what
veni,come
vedea,see
da,Yes
lua,get
merge,go
sta,stay
părea,look
găsi,find
auzi,hear
ști,know
veni,come
întreba,ask
scrie,write
trăi,live
crede,believe
trebui,BE
înțelege,understand
aduce,bring
citi,read
juca,play
râde,laugh
începe,you start
ține,KEEP
suna,sounds
uita,forget
vorbi,TALK
simți,feel
crește,grow
dori,like
pleca,leave
deschide,open
aminti,to lie
învăța,learn
mișca,move
ține,KEEP
lucra,work
arăta,to miss
mânca,eat
pierde,lose
cânta,sing
căuta,search for
cumpăra,buy
sosi,arrive
câștiga,win
cumpăra,buy
lucra,work
încerca,try
alearga,RUN
alege,choose
întâlni,meet
crea,create
crește,grow
cădea,fall
închide,hang up
întoarce,turn
primi,receive
găti,cook
adăuga,add
răspunde,reply
merge,go
ierta,forgive
ajunge,that's enough
trăi,live
desena,draw
dormi,are you sleeping
atinge,touch
bea,drink
tăia,cut
câștiga,win
vinde,sell
trăi,live
vizita,visit
vinde,sell
vizita,visit
uita,forget
spera,hope
dansa,dance
iubi,love
trăi,live
dormi,are you sleeping
întoarce,turn
uita,forget
învăța,learn
pune,put
dansa,dance
explica,explain
descoperi,discover
alearga,run
vizita,visit
aștepta,wait
cânta,sing
închide,hang up
uita,forget
mânca,eat
gândi,think
înțelege,understand
scrie,write
alege,choose
crea,create
crește,grow
râde,laugh
lucra,work
începe,you start
alearga,run
pleca,leave
primi,receive
citi,read
deschide,open
vorbi,talk
dormi,are you sleeping
suna,sounds
juca,play
vizita,visit
lucra,work
părea,look
găsi,find
gândi,think
înțelege,understand
învăța,learn
întâlni,meet
uita,forget
vorbi,talk
scrie,write
sper,hope
râde,laugh
crea,create
cânta,sing
crede,believe
cumpăra,buy
ajunge,that's enough
găsi,find
aduce,bring
întreba,ask
aștepta,wait
merge,go
închide,hang up
căuta,search for
vinde,sell
sta,stay
desena,draw
crește,grow
suna,sounds
explica,explain
câștiga,win
citi,read
crea,create
sper,hope
dori,like
gândi,think
pierde,lose
pleca,leave
crede,believe
vedea,see
gândi,think
lucra,work
crește,grow
aștepta,wait
întoarce,turn
crea,create
părea,look
scrie,write
crea,create
înțelege,understand
dormi,are you sleeping
vinde,sell
descoperi,discover
câștiga,win
trăi,live
întreba,ask
suna,sounds
iubi,love
alege,choose
simți,feel
pierde,lose
ajunge,that's enough
crește,grow
pleca,leave
vizita,visit
râde,laugh
merge,go
aștepta,wait
crea,create
descoperi,discover
pune,put
închide,hang up
începe,you start
atinge,touch
vedea,see
jos,down
lumea,the world
două,two
toţi,all
nu-mi,I
daca,if